id,name,height,weight,base_experience,total_base_stats,attack,defense,hp,special-attack,special-defense,speed,type_1,type_2,offensive_effectiveness,defensive_multiplier_mean,n_moves,max_move_power,mean_move_power,max_power_physical,max_power_special,defensive_multiplier_mean_clipped,defensive_raw,offensive_raw,total_base_stats_norm,max_move_power_norm,offensive_effectiveness_norm,defensive_survivability_norm
19,rattata,3,35,51.0,253,56,35,30,25,35,72,normal,,0.9047619047619048,1.0,48.0,140.0,69.64583333333333,140.0,110.0,1.0,100.0,355.57142857142856,0.08210526315789474,0.56,0.0,0.05829903978052126
20,raticate,7,185,145.0,413,81,60,55,50,70,97,normal,,0.9047619047619048,1.0,51.0,150.0,73.68627450980392,150.0,150.0,1.0,185.0,509.3809523809524,0.2505263157894737,0.6,0.0,0.18218449931412894
21,spearow,3,20,52.0,262,60,30,40,31,31,70,normal,flying,0.9880952380952381,1.0,37.0,140.0,62.83783783783784,140.0,95.0,1.0,101.0,397.2142857142857,0.09157894736842105,0.56,0.35000000000000026,0.05975651577503429
22,fearow,12,380,155.0,442,90,65,65,61,61,100,normal,flying,0.9880952380952381,1.0,38.0,150.0,68.8157894736842,150.0,150.0,1.0,191.0,584.952380952381,0.2810526315789474,0.6,0.35000000000000026,0.19092935528120714
23,ekans,20,69,58.0,288,60,44,35,40,54,55,poison,,0.9523809523809523,0.9761904761904762,58.0,130.0,66.37931034482759,130.0,120.0,0.9761904761904762,136.2439024390244,398.0952380952381,0.11894736842105263,0.52,0.19999999999999982,0.11112365753287164
24,arbok,35,650,157.0,448,95,69,60,65,79,80,poison,,0.9523809523809523,0.9761904761904762,65.0,150.0,69.46153846153847,150.0,150.0,0.9761904761904762,213.07317073170734,569.5238095238095,0.2873684210526316,0.6,0.19999999999999982,0.22310047174545822
25,pikachu,4,60,112.0,320,55,40,35,50,50,90,electric,,0.9761904761904762,0.9761904761904762,58.0,150.0,70.86206896551724,150.0,120.0,0.9761904761904762,128.0487804878049,458.8095238095238,0.15263157894736842,0.6,0.29999999999999993,0.09917946401686241
26,raichu,8,300,218.0,485,90,55,60,90,80,110,electric,,0.9761904761904762,0.9761904761904762,61.0,150.0,73.44262295081967,150.0,150.0,0.9761904761904762,199.7560975609756,619.8809523809524,0.3263157894736842,0.6,0.29999999999999993,0.20369115728194317
27,sandshrew,6,120,60.0,300,75,85,50,20,30,40,ground,,1.1428571428571428,1.0476190476190477,58.0,150.0,69.44827586206897,150.0,90.0,1.0476190476190477,157.5,514.2857142857142,0.13157894736842105,0.6,1.0,0.14210390946502058
28,sandslash,10,295,158.0,450,100,110,75,45,55,65,ground,,1.1428571428571428,1.0476190476190477,63.0,150.0,73.06349206349206,150.0,150.0,1.0476190476190477,229.0909090909091,685.7142857142857,0.2894736842105263,0.6,1.0,0.24644594089038532
29,nidoran-f,4,70,55.0,275,47,52,55,40,40,41,poison,,0.9523809523809523,0.9761904761904762,42.0,130.0,65.78571428571429,130.0,110.0,0.9761904761904762,150.58536585365854,385.71428571428567,0.10526315789473684,0.52,0.19999999999999982,0.13202599618588778
30,nidorina,8,200,128.0,365,62,67,70,55,55,56,poison,,0.9523809523809523,0.9761904761904762,42.0,130.0,66.26190476190476,130.0,110.0,0.9761904761904762,196.6829268292683,471.4285714285714,0.2,0.52,0.19999999999999982,0.19921208471343974
31,nidoqueen,13,600,227.0,505,92,87,90,75,85,76,poison,ground,1.0476190476190474,1.0119047619047619,88.0,150.0,74.23863636363636,150.0,150.0,1.0119047619047619,258.91764705882355,686.190476190476,0.3473684210526316,0.6,0.5999999999999994,0.289917695473251
32,nidoran-m,5,90,55.0,273,57,40,46,40,40,50,poison,,0.9523809523809523,0.9761904761904762,44.0,150.0,69.77272727272727,150.0,110.0,0.9761904761904762,129.0731707317073,402.85714285714283,0.1031578947368421,0.6,0.19999999999999982,0.10067248820636353
33,nidorino,9,195,128.0,365,72,57,61,55,55,65,poison,,0.9523809523809523,0.9761904761904762,42.0,130.0,66.9047619047619,130.0,110.0,0.9761904761904762,177.21951219512195,471.4285714285714,0.2,0.52,0.19999999999999982,0.1708446251129178
34,nidoking,14,620,227.0,505,102,77,81,85,75,85,poison,ground,1.0476190476190474,1.0119047619047619,90.0,150.0,75.22222222222223,150.0,150.0,1.0119047619047619,230.25882352941179,686.190476190476,0.3473684210526316,0.6,0.5999999999999994,0.24814814814814817
35,clefairy,6,75,113.0,323,45,48,70,60,65,35,fairy,,1.0714285714285714,0.9761904761904762,81.0,150.0,74.50617283950618,150.0,120.0,0.9761904761904762,187.46341463414635,506.7857142857143,0.15578947368421053,0.6,0.7000000000000001,0.18577486700792933
36,clefable,13,400,217.0,483,70,73,95,95,90,60,fairy,,1.0714285714285714,0.9761904761904762,84.0,150.0,77.44047619047619,150.0,150.0,0.9761904761904762,264.2926829268293,678.2142857142857,0.32421052631578945,0.6,0.7000000000000001,0.29775168122051593
37,vulpix,6,99,60.0,299,41,40,38,50,65,65,fire,,1.0952380952380953,1.0,44.0,130.0,72.27272727272727,130.0,130.0,1.0,143.0,469.8571428571429,0.13052631578947368,0.52,0.8000000000000006,0.12097050754458162
38,ninetales,11,199,177.0,505,76,75,73,81,100,100,fire,,1.0952380952380953,1.0,50.0,150.0,76.4,150.0,150.0,1.0,248.0,717.3809523809524,0.3473684210526316,0.6,0.8000000000000006,0.27400548696844995
39,jigglypuff,5,55,95.0,270,45,20,115,45,25,20,normal,fairy,0.9880952380952381,0.9523809523809523,79.0,200.0,77.59493670886076,200.0,120.0,0.9523809523809523,168.0,464.4047619047619,0.1,0.8,0.35000000000000026,0.1574074074074074
40,wigglytuff,10,120,196.0,435,70,45,140,85,50,45,normal,fairy,0.9880952380952381,0.9523809523809523,82.0,200.0,80.0,200.0,150.0,0.9523809523809523,246.75,627.4404761904763,0.2736842105263158,0.8,0.35000000000000026,0.27218364197530864
41,zubat,8,75,49.0,245,45,35,40,30,40,55,poison,flying,1.0119047619047619,0.9880952380952381,46.0,120.0,64.45652173913044,120.0,95.0,0.9880952380952381,116.38554216867469,369.3452380952381,0.07368421052631578,0.48,0.44999999999999996,0.08218057414844562
42,golbat,16,550,159.0,455,80,70,75,65,75,90,poison,flying,1.0119047619047619,0.9880952380952381,46.0,150.0,68.80434782608695,150.0,150.0,0.9880952380952381,222.65060240963854,612.202380952381,0.29473684210526313,0.6,0.44999999999999996,0.2370593485051316
43,oddish,5,54,64.0,320,50,55,45,75,65,30,grass,poison,0.9642857142857142,1.0595238095238095,31.0,130.0,67.41935483870968,120.0,130.0,1.0595238095238095,155.73033707865167,433.9285714285714,0.15263157894736842,0.52,0.24999999999999964,0.13952466823877557
44,gloom,8,86,138.0,395,65,70,60,85,75,40,grass,poison,0.9642857142857142,1.0595238095238095,34.0,130.0,68.97058823529412,120.0,130.0,1.0595238095238095,193.48314606741573,506.24999999999994,0.23157894736842105,0.52,0.24999999999999964,0.194548481065335
45,vileplume,12,186,221.0,490,80,85,75,110,90,50,grass,poison,0.9642857142857142,1.0595238095238095,40.0,150.0,75.0,150.0,150.0,1.0595238095238095,235.95505617977528,617.1428571428571,0.33157894736842103,0.6,0.24999999999999964,0.2564502704952143
46,paras,3,54,57.0,285,70,55,35,45,55,25,bug,grass,0.9761904761904762,1.3333333333333333,41.0,130.0,63.73170731707317,130.0,120.0,1.3333333333333333,108.75,405.1190476190476,0.11578947368421053,0.52,0.29999999999999993,0.07105195473251029
47,parasect,10,295,142.0,405,95,80,60,60,80,30,bug,grass,0.9761904761904762,1.3333333333333333,40.0,150.0,69.7,150.0,150.0,1.3333333333333333,165.0,541.7857142857142,0.24210526315789474,0.6,0.29999999999999993,0.15303497942386832
48,venonat,10,300,61.0,305,55,50,60,40,55,45,bug,poison,0.9642857142857142,1.0476190476190477,35.0,120.0,67.28571428571429,120.0,120.0,1.0476190476190477,157.5,409.82142857142856,0.1368421052631579,0.48,0.24999999999999964,0.14210390946502058
49,venomoth,15,125,158.0,450,65,60,70,90,75,90,bug,poison,0.9642857142857142,1.0476190476190477,49.0,150.0,70.40816326530613,150.0,150.0,1.0476190476190477,195.68181818181816,578.5714285714286,0.2894736842105263,0.6,0.24999999999999964,0.19775299289188175
50,diglett,2,8,53.0,265,55,25,10,35,45,95,ground,,1.1428571428571428,1.0476190476190477,45.0,120.0,63.51111111111111,120.0,90.0,1.0476190476190477,76.36363636363636,440.0,0.09473684210526316,0.48,1.0,0.023849607182940512
51,dugtrio,7,333,149.0,425,100,50,35,50,70,120,ground,,1.1428571428571428,1.0476190476190477,48.0,150.0,69.54166666666667,150.0,150.0,1.0476190476190477,147.95454545454544,657.1428571428571,0.2631578947368421,0.6,1.0,0.12819163860830526
52,meowth,4,42,58.0,290,45,35,40,40,40,90,normal,,0.9047619047619048,1.0,62.0,140.0,69.24193548387096,140.0,120.0,1.0,115.0,389.04761904761904,0.12105263157894737,0.56,0.0,0.08016117969821673
53,persian,10,320,154.0,440,70,60,65,65,65,115,normal,,0.9047619047619048,1.0,65.0,150.0,71.73846153846154,150.0,150.0,1.0,190.0,533.8095238095239,0.2789473684210526,0.6,0.0,0.1894718792866941
54,psyduck,8,196,64.0,320,52,48,50,65,50,55,water,,1.0714285714285714,1.0,68.0,150.0,72.25,150.0,120.0,1.0,148.0,503.57142857142856,0.15263157894736842,0.6,0.7000000000000001,0.12825788751714678
55,golduck,17,766,175.0,500,82,78,80,95,80,85,water,,1.0714285714285714,1.0,71.0,150.0,73.91549295774648,150.0,150.0,1.0,238.0,696.4285714285714,0.34210526315789475,0.6,0.7000000000000001,0.2594307270233196
56,mankey,5,280,61.0,305,80,35,40,35,45,70,fighting,,1.0714285714285714,1.0714285714285714,72.0,150.0,74.76388888888889,150.0,130.0,1.0714285714285714,112.0,487.5,0.1368421052631579,0.6,0.7000000000000001,0.07578875171467764
57,primeape,10,320,159.0,455,105,60,65,60,70,95,fighting,,1.0714285714285714,1.0714285714285714,71.0,150.0,77.64788732394366,150.0,150.0,1.0714285714285714,182.0,648.2142857142857,0.29473684210526313,0.6,0.7000000000000001,0.17781207133058985
58,growlithe,7,190,70.0,350,70,45,55,70,50,60,fire,,1.0952380952380953,1.0,49.0,130.0,76.73469387755102,130.0,130.0,1.0,150.0,525.7142857142858,0.18421052631578946,0.52,0.8000000000000006,0.13117283950617284
59,arcanine,19,1550,194.0,555,110,80,90,100,80,95,fire,,1.0952380952380953,1.0,56.0,150.0,80.625,150.0,150.0,1.0,250.0,772.1428571428572,0.4,0.6,0.8000000000000006,0.276920438957476
60,poliwag,6,124,60.0,300,50,40,40,40,40,90,water,,1.0714285714285714,1.0,43.0,150.0,69.76744186046511,150.0,110.0,1.0,120.0,482.1428571428571,0.13157894736842105,0.6,0.7000000000000001,0.0874485596707819
61,poliwhirl,10,200,135.0,385,65,65,65,50,50,90,water,,1.0714285714285714,1.0,52.0,150.0,71.63461538461539,150.0,110.0,1.0,180.0,573.2142857142857,0.22105263157894736,0.6,0.7000000000000001,0.1748971193415638
62,poliwrath,13,540,230.0,510,95,95,90,70,90,70,water,fighting,1.0714285714285714,1.0714285714285714,70.0,150.0,75.85714285714286,150.0,150.0,1.0714285714285714,256.6666666666667,707.1428571428571,0.3526315789473684,0.6,0.7000000000000001,0.2866369455875629
63,abra,9,195,62.0,310,20,15,25,105,55,90,psychic,,1.0,1.0952380952380953,38.0,150.0,80.78947368421052,150.0,120.0,1.0952380952380953,86.7391304347826,460.0,0.14210526315789473,0.6,0.4000000000000001,0.03897164072284843
64,kadabra,13,565,140.0,400,35,30,40,120,70,105,psychic,,1.0,1.0952380952380953,43.0,150.0,81.04651162790698,150.0,120.0,1.0952380952380953,127.82608695652172,550.0,0.23684210526315788,0.6,0.4000000000000001,0.09885489354088385
65,alakazam,15,480,225.0,500,50,45,55,135,95,120,psychic,,1.0,1.0952380952380953,47.0,150.0,83.51063829787235,150.0,150.0,1.0952380952380953,178.04347826086953,650.0,0.34210526315789475,0.6,0.4000000000000001,0.17204553587403823
66,machop,8,195,61.0,305,80,50,70,35,35,35,fighting,,1.0714285714285714,1.0714285714285714,56.0,150.0,72.76785714285714,150.0,120.0,1.0714285714285714,144.66666666666666,487.5,0.1368421052631579,0.6,0.7000000000000001,0.12339963420210333
67,machoke,15,705,142.0,405,100,70,80,50,60,45,fighting,,1.0714285714285714,1.0714285714285714,55.0,150.0,73.0909090909091,150.0,120.0,1.0714285714285714,196.0,594.6428571428571,0.24210526315789474,0.6,0.7000000000000001,0.19821673525377229
68,machamp,16,1300,227.0,505,130,80,90,65,85,55,fighting,,1.0714285714285714,1.0714285714285714,65.0,150.0,75.53846153846153,150.0,150.0,1.0714285714285714,238.0,701.7857142857142,0.3473684210526316,0.6,0.7000000000000001,0.2594307270233196
69,bellsprout,7,40,60.0,300,75,35,50,70,30,40,grass,poison,0.9642857142857142,1.0595238095238095,43.0,130.0,66.27906976744185,120.0,130.0,1.0595238095238095,108.53932584269663,414.6428571428571,0.13157894736842105,0.52,0.24999999999999964,0.07074490220557636
70,weepinbell,10,64,137.0,390,90,50,65,85,45,55,grass,poison,0.9642857142857142,1.0595238095238095,45.0,130.0,65.22222222222223,120.0,130.0,1.0595238095238095,151.01123595505618,501.4285714285714,0.22631578947368422,0.52,0.24999999999999964,0.13264669163545567
71,victreebel,17,155,221.0,490,105,65,80,100,70,70,grass,poison,0.9642857142857142,1.0595238095238095,49.0,150.0,69.18367346938776,150.0,150.0,1.0595238095238095,202.92134831460675,617.1428571428571,0.33157894736842103,0.6,0.24999999999999964,0.20830443427197484
72,tentacool,9,455,67.0,335,40,35,40,50,100,70,water,poison,1.0119047619047619,0.9523809523809523,57.0,130.0,64.64912280701755,130.0,110.0,0.9523809523809523,183.75,470.5357142857143,0.16842105263157894,0.52,0.44999999999999996,0.18036265432098766
73,tentacruel,16,550,180.0,515,70,65,80,80,120,100,water,poison,1.0119047619047619,0.9523809523809523,61.0,150.0,67.29508196721312,150.0,150.0,0.9523809523809523,278.25,672.9166666666666,0.35789473684210527,0.6,0.44999999999999996,0.31809413580246915
74,geodude,4,200,60.0,300,80,100,40,30,30,20,rock,ground,1.130952380952381,1.2976190476190477,47.0,250.0,79.25531914893617,250.0,110.0,1.2976190476190477,131.0091743119266,622.0238095238095,0.13157894736842105,1.0,0.9500000000000002,0.10349416694982445
75,graveler,10,1050,137.0,390,95,115,55,45,45,35,rock,ground,1.130952380952381,1.2976190476190477,51.0,250.0,78.52941176470588,250.0,120.0,1.2976190476190477,165.6880733944954,723.8095238095239,0.22631578947368422,1.0,0.9500000000000002,0.15403782987880846
76,golem,14,3000,223.0,495,120,130,80,55,65,45,rock,ground,1.130952380952381,1.2976190476190477,56.0,250.0,80.89285714285714,250.0,150.0,1.2976190476190477,211.92660550458714,842.5595238095237,0.3368421052631579,1.0,0.9500000000000002,0.22142938045078717
77,ponyta,10,300,82.0,410,85,55,50,65,65,90,fire,,1.0952380952380953,1.0,39.0,130.0,77.05128205128206,130.0,130.0,1.0,170.0,591.4285714285714,0.24736842105263157,0.52,0.8000000000000006,0.16032235939643347
78,rapidash,17,950,175.0,500,100,70,65,80,80,105,fire,,1.0952380952380953,1.0,48.0,150.0,77.91666666666667,150.0,150.0,1.0,215.0,711.9047619047619,0.34210526315789475,0.6,0.8000000000000006,0.2259087791495199
79,slowpoke,12,360,63.0,315,65,65,90,40,40,15,water,psychic,1.0357142857142856,1.0952380952380953,61.0,130.0,73.0327868852459,130.0,120.0,1.0952380952380953,178.04347826086953,460.8928571428571,0.14736842105263157,0.52,0.5499999999999996,0.17204553587403823
80,slowbro,16,785,172.0,490,75,110,95,100,80,30,water,psychic,1.0357142857142856,1.0952380952380953,78.0,150.0,76.53846153846153,150.0,150.0,1.0952380952380953,260.2173913043478,662.8571428571428,0.33157894736842103,0.6,0.5499999999999996,0.29181204151010914
81,magnemite,3,60,65.0,325,35,70,25,95,55,45,electric,steel,1.0119047619047619,0.9047619047619048,32.0,250.0,77.1875,250.0,140.0,0.9047619047619048,165.78947368421052,581.8452380952381,0.15789473684210525,1.0,0.44999999999999996,0.15418561836690492
82,magneton,10,600,163.0,465,60,95,50,120,70,70,electric,steel,1.0119047619047619,0.9047619047619048,35.0,250.0,81.42857142857143,250.0,150.0,0.9047619047619048,237.6315789473684,723.5119047619047,0.30526315789473685,1.0,0.44999999999999996,0.25889376218323584
83,farfetchd,8,150,132.0,377,90,55,52,58,62,60,normal,flying,0.9880952380952381,1.0,54.0,140.0,70.27777777777777,140.0,95.0,1.0,169.0,510.84523809523813,0.21263157894736842,0.56,0.35000000000000026,0.15886488340192043
84,doduo,14,392,62.0,310,85,45,35,35,35,75,normal,flying,0.9880952380952381,1.0,40.0,140.0,69.5,140.0,90.0,1.0,115.0,444.64285714285717,0.14210526315789473,0.56,0.35000000000000026,0.08016117969821673
85,dodrio,18,852,165.0,470,110,70,60,60,60,110,normal,flying,0.9880952380952381,1.0,46.0,150.0,72.28260869565217,150.0,150.0,1.0,190.0,612.6190476190476,0.3105263157894737,0.6,0.35000000000000026,0.1894718792866941
86,seel,11,900,65.0,325,45,55,65,45,70,45,water,,1.0714285714285714,1.0,52.0,130.0,67.59615384615384,130.0,120.0,1.0,190.0,487.5,0.15789473684210525,0.52,0.7000000000000001,0.1894718792866941
87,dewgong,17,1200,166.0,475,70,80,90,70,95,70,water,ice,1.0833333333333335,1.130952380952381,57.0,150.0,71.57894736842105,150.0,150.0,1.130952380952381,234.31578947368422,677.0833333333334,0.3157894736842105,0.6,0.7500000000000008,0.2540610786224821
88,grimer,9,300,65.0,325,80,50,80,40,50,25,poison,,0.9523809523809523,0.9761904761904762,53.0,250.0,74.81132075471699,250.0,120.0,0.9761904761904762,184.39024390243904,547.6190476190476,0.15789473684210525,1.0,0.19999999999999982,0.1812957944394259
89,muk,12,300,175.0,500,105,75,105,65,100,50,poison,,0.9523809523809523,0.9761904761904762,62.0,250.0,80.24193548387096,250.0,150.0,0.9761904761904762,286.8292682926829,714.2857142857142,0.34210526315789475,1.0,0.19999999999999982,0.33059821338954126
90,shellder,3,40,61.0,305,65,100,30,45,25,40,water,,1.0714285714285714,1.0,42.0,250.0,69.52380952380952,250.0,110.0,1.0,155.0,594.6428571428571,0.1368421052631579,1.0,0.7000000000000001,0.138460219478738
91,cloyster,15,1325,184.0,525,95,180,50,85,45,70,water,ice,1.0833333333333335,1.130952380952381,54.0,250.0,72.77777777777777,250.0,150.0,1.130952380952381,243.1578947368421,839.5833333333335,0.3684210526315789,1.0,0.7500000000000008,0.2669482347844921
92,gastly,13,1,62.0,310,35,30,30,100,35,80,ghost,poison,0.988095238095238,0.9761904761904762,46.0,250.0,77.17391304347827,250.0,120.0,0.9761904761904762,97.3170731707317,553.3333333333333,0.14210526315789473,1.0,0.3499999999999998,0.05438873833182776
93,haunter,16,1,142.0,405,50,45,45,115,55,95,ghost,poison,0.988095238095238,0.9761904761904762,49.0,250.0,78.36734693877551,250.0,120.0,0.9761904761904762,148.53658536585365,647.202380952381,0.24210526315789474,1.0,0.3499999999999998,0.12903994780688546
94,gengar,15,405,225.0,500,65,60,60,130,75,110,ghost,poison,0.988095238095238,0.9761904761904762,66.0,250.0,83.03030303030303,250.0,150.0,0.9761904761904762,199.7560975609756,741.0714285714286,0.34210526315789475,1.0,0.3499999999999998,0.20369115728194317
95,onix,88,2100,77.0,385,45,160,35,30,45,70,rock,ground,1.130952380952381,1.2976190476190477,50.0,250.0,76.0,250.0,120.0,1.2976190476190477,184.95412844036696,718.1547619047619,0.22105263157894736,1.0,0.9500000000000002,0.1821176426171329
96,drowzee,10,324,66.0,328,48,45,60,43,90,42,psychic,,1.0,1.0952380952380953,50.0,150.0,78.2,150.0,120.0,1.0952380952380953,178.04347826086953,478.0,0.16105263157894736,0.6,0.4000000000000001,0.17204553587403823
97,hypno,16,756,169.0,483,73,70,85,73,115,67,psychic,,1.0,1.0952380952380953,53.0,150.0,80.84905660377359,150.0,150.0,1.0952380952380953,246.52173913043475,633.0,0.32421052631578945,0.6,0.4000000000000001,0.27185095723743063
98,krabby,4,65,65.0,325,105,90,30,25,25,50,water,,1.0714285714285714,1.0,49.0,120.0,67.85714285714286,120.0,110.0,1.0,145.0,476.7857142857143,0.15789473684210525,0.48,0.7000000000000001,0.12388545953360768
99,kingler,13,600,166.0,475,130,115,55,50,50,75,water,,1.0714285714285714,1.0,52.0,150.0,72.21153846153847,150.0,150.0,1.0,220.0,669.6428571428571,0.3157894736842105,0.6,0.7000000000000001,0.23319615912208505
100,voltorb,5,104,66.0,330,30,50,40,55,55,100,electric,,0.9761904761904762,0.9761904761904762,30.0,250.0,80.0,250.0,120.0,0.9761904761904762,148.53658536585365,566.1904761904761,0.1631578947368421,1.0,0.29999999999999993,0.12903994780688546
101,electrode,12,666,172.0,490,50,70,60,80,80,150,electric,,0.9761904761904762,0.9761904761904762,34.0,250.0,86.17647058823529,250.0,150.0,0.9761904761904762,215.1219512195122,722.3809523809524,0.33157894736842103,1.0,0.29999999999999993,0.2260865201244605
102,exeggcute,4,25,65.0,325,40,80,60,60,45,40,grass,psychic,0.9880952380952381,1.2857142857142858,39.0,250.0,75.8974358974359,250.0,130.0,1.2857142857142858,143.88888888888889,568.1547619047619,0.15789473684210525,1.0,0.35000000000000026,0.12226604176192653
103,exeggutor,20,1200,186.0,530,95,85,95,125,75,55,grass,psychic,0.9880952380952381,1.2857142857142858,53.0,250.0,80.47169811320755,250.0,150.0,1.2857142857142858,198.33333333333331,770.7142857142858,0.3736842105263158,1.0,0.35000000000000026,0.20161751257430266
104,cubone,4,65,64.0,320,50,95,50,40,50,35,ground,,1.1428571428571428,1.0476190476190477,60.0,150.0,71.91666666666667,150.0,110.0,1.0476190476190477,186.13636363636363,537.1428571428571,0.15263157894736842,0.6,1.0,0.18384072203516647
105,marowak,10,450,149.0,425,80,110,60,50,80,45,ground,,1.1428571428571428,1.0476190476190477,63.0,150.0,77.38095238095238,150.0,150.0,1.0476190476190477,238.63636363636363,657.1428571428571,0.2631578947368421,0.6,1.0,0.2603582117471006
106,hitmonlee,15,498,159.0,455,120,53,50,35,110,87,fighting,,1.0714285714285714,1.0714285714285714,61.0,150.0,75.98360655737704,150.0,120.0,1.0714285714285714,198.8,648.2142857142857,0.29473684210526313,0.6,0.7000000000000001,0.2022976680384088
107,hitmonchan,14,502,159.0,455,105,79,50,35,110,76,fighting,,1.0714285714285714,1.0714285714285714,60.0,150.0,72.88333333333334,150.0,120.0,1.0714285714285714,223.06666666666666,648.2142857142857,0.29473684210526313,0.6,0.7000000000000001,0.237665752171925
108,lickitung,12,655,77.0,385,55,75,90,60,75,30,normal,,0.9047619047619048,1.0,78.0,150.0,77.56410256410257,150.0,150.0,1.0,240.0,484.04761904761904,0.22105263157894736,0.6,0.0,0.2623456790123457
109,koffing,6,10,68.0,340,65,95,40,60,45,35,poison,,0.9523809523809523,0.9761904761904762,38.0,250.0,78.8157894736842,250.0,120.0,0.9761904761904762,184.39024390243904,561.9047619047619,0.1736842105263158,1.0,0.19999999999999982,0.1812957944394259
